"TEAM","YEAR","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","dbpr_Player 1","dbpr_Player 2","dbpr_Player 3","dbpr_Player 4","dbpr_Player 5","dbpr_Player 6","dbpr_Player 7","dbpr_Player 8","obpr_Player 1","obpr_Player 2","obpr_Player 3","obpr_Player 4","obpr_Player 5","obpr_Player 6","obpr_Player 7","obpr_Player 8","elo"
"Harvard",2014,"Ivy",31,26,111.9,95.2,0.8641,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,49.7,44.9,38.6,32.7,65.5,2.2,"R32",12,2.447964927,0.58744505,1.801942538,1.155394794,2.864120223,0.850026831,0.197606521,2.011003585,1.992774084,3.39782022,2.176092051,2.726427177,0.882363749,2.324085829,2.141728231,-0.268944306,1758.56086275262
"Harvard",2015,"Ivy",28,20,102.4,94.9,0.7057,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34,61.6,-1.3,"R64",13,2.117326974,2.37953352,1.012844218,0.633389011,-0.08007365,1.466500314,1.190333119,NA,2.727978063,1.584701972,1.530329725,1.316024597,1.074077081,-1.426558478,-1.167334925,NA,1670.47769433718
"Hawai'i",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1743.40780255406
"Holy Cross",2016,"Pat",35,15,96.7,106.9,0.2398,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,64.6,-14.5,"R64",16,1.337630097,-0.526376565,-0.381121834,-0.426797131,-0.632660797,0.053512803,0.214163283,-2.083004165,-0.785043647,0.87871814,0.442625066,-0.35822183,-0.332277792,-1.609618641,-2.012957821,-1.107105091,1431.06537561367
"Houston",2018,"Amer",35,27,114.8,93.9,0.9097,53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,50.5,43.8,38.7,32.3,69.4,2.4,"R32",6,1.363540078,2.35336602,1.375951979,0.802825807,2.670480179,0.763406205,0.821231614,1.785419404,4.404199917,2.728391672,3.613947842,3.364464172,1.486178381,1.754432689,1.380141541,0.245108054,1706.29215089946
"Houston",2019,"Amer",37,33,115.7,90.5,0.9439,52.1,42.5,16.5,18.2,34.4,26,31.6,37.3,51.3,43,35.5,27.9,67.3,7.8,"S16",3,2.23935577,3.107934038,1.005612086,1.478123788,1.588753615,2.506196185,2.747957482,1.538548191,3.009030793,1.996710198,3.415875287,2.615511321,2.191498285,0.98420342,-0.087526703,0.460032957,1850.17994658269
"Houston",2021,"Amer",26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,"F4",2,2.151900684,1.702912716,3.022595923,1.934159196,2.189042124,1.492312126,2.889709483,0.878269739,3.799410828,4.111914708,2.70239762,2.692854533,2.368973123,2.871286855,0.939131085,-0.059185236,1756.77871675353
"Houston",2022,"Amer",38,32,116.5,88.5,0.9595,53.1,43.3,16.9,21.7,37.7,28,29,34.7,54.5,43.4,33.8,28.8,63.7,6.2,"E8",5,2.600148194,3.131584967,3.166360043,2.376679441,2.588741124,1.698859286,2.674254882,1.714968825,4.126866429,3.557138802,3.428053291,3.375082318,2.781141039,2.864684271,1.540688613,1.454847184,1780.94865562065
"Houston",2023,"Amer",37,33,117.3,90.3,0.9532,52.3,42.7,15.4,21.1,37.1,27.7,28.9,35.7,53.1,43.4,34,27.9,63.4,8,"S16",1,1.809075884,3.061008246,2.381860915,2.763020688,3.257036234,2.508715418,3.351786769,1.375524118,5.136024439,3.257895725,3.463425428,2.574411838,1.739253144,2.412472622,1.22071412,2.845890396,1855.07334085479
"Houston",2024,"B12",34,30,119.2,85.5,0.9785,49.7,44,13.7,24.7,36.9,30.2,29.9,39,48.4,43.4,34.7,30,63.3,10.6,NA,1,4.681878476,3.383611888,2.558262883,4.009560953,4.434534774,2.016145914,2.705440312,1.862386369,5.284976357,3.754057366,4.266640476,2.227092934,1.588474174,2.89653423,0.100535677,0.731280428,1827.06146242743
"Howard",2023,"MEAC",32,22,102.7,106.3,0.4031,51.8,50.9,22.8,20.6,33.7,31.9,32.2,33.9,49.8,51.1,36.9,33.8,69,-7.3,"R64",16,-0.946085984,0.3272081,-1.062376684,0.287418526,0.385905885,0.580063386,-0.639364464,-0.542326032,2.265492222,0.965363116,1.906957959,0.442730763,0.078834923,-0.653414985,0.176379424,-0.164721604,1523.66643479523
"Illinois",2013,"B10",34,21,109.8,92.7,0.8749,47.5,48.7,17.6,21.7,33.6,33,31,36,47.4,47.4,31.7,34.1,66.1,2.4,"R32",7,2.211163861,1.087169851,1.484172978,1.946850712,0.598720283,1.962844018,0.647824058,0.710300009,1.992897974,2.780508905,1.528911982,0.834824266,1.948604018,0.214007217,0.690395782,0.320862244,1714.10489537861
"Illinois",2021,"B10",29,23,117.7,90.4,0.9539,55.6,46.6,18.2,16.1,33,22.2,39.2,30.5,55.3,45.4,37.6,32.7,70.7,8.9,"R32",1,3.255935455,2.027621927,1.814850731,1.588690623,1.552344288,2.451351079,0.563311208,NA,4.395134994,4.434973071,3.467604691,3.348999876,2.915026091,1.987263826,1.594892411,NA,1672.94206471588
"Illinois",2022,"B10",33,23,111.9,93,0.8943,52.5,46,18.1,15.5,33.1,26.6,32,28.2,51.4,45.2,35.9,31.9,67.1,4.2,"R32",4,2.226527867,1.026882502,1.601590367,0.568336359,2.480467198,1.784002283,1.618301914,NA,4.725309936,4.116462537,3.063810241,3.440207239,0.949858438,1.577393335,0.917310015,NA,1662.2704324196
"Illinois",2023,"B10",33,20,108.9,95.4,0.8216,51.4,46.7,18.4,18.5,31.6,26.7,34.3,30.1,55.1,45.1,30.8,33.4,69.8,0.9,"R64",9,1.486865882,3.0430321,1.357515594,2.558816247,1.309503237,1.791955099,1.997491511,0.659223273,3.777870573,1.499911135,2.994511767,1.582198246,1.464878887,0.922982464,0.647566056,1.239073208,1638.05125992764
"Illinois",2024,"B10",34,26,125.3,101.1,0.9221,53.8,48,15.1,12.3,36.2,26.1,37.8,27.1,54.7,46.6,34.9,34.3,69.9,6,NA,3,1.794006359,1.123714464,0.466325884,1.441227838,1.604220714,0.81284734,2.009224831,0.460348611,5.251286117,5.410254903,4.365182292,3.38036125,3.065840804,3.323448948,1.393962657,2.447021502,1725.89790616407
"Indiana",2013,"B10",36,29,121,89.7,0.9692,54.7,44,19.3,20.9,39,31.4,45.8,27,52,43.2,40.3,30.4,67.8,7.8,"S16",1,3.005288314,3.236246156,1.701618834,0.984005462,1.40975292,1.696491667,1.154132629,2.020137138,5.372138742,4.31556253,4.268306663,4.931729586,3.589326854,2.858349522,2.604650322,0.759353205,1794.76366599926
"Indiana",2015,"B10",34,20,119.5,103,0.8473,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,50.2,50.9,40.6,32.5,67.2,-0.3,"R64",10,0.531056468,0.602107266,-1.130347632,-0.17244034,-0.186087462,0.140192914,0.557879593,0.981770837,4.950591818,2.904988545,4.555548838,3.569218623,2.897911993,2.000383659,1.121946991,0.162957885,1682.18824973667
"Indiana",2016,"B10",35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,"S16",5,1.296957324,0.447561563,2.367748437,1.797770648,-0.165963391,1.138945496,0.971628982,1.463296626,5.989577763,5.866117459,3.637127687,3.38965881,4.23187207,2.903370802,2.8633002,1.976500609,1692.98492348092
"Indiana",2022,"B10",35,21,107.7,91.6,0.8652,50.6,46.2,17.2,17.6,27,25.1,33.5,30.7,50.9,43.9,33.3,33,67.2,0.2,"R64",12,2.038289445,1.775832922,2.539610005,1.381494688,1.876242195,1.065957588,2.257177834,0.165344412,3.589599044,3.118582697,1.944587916,0.812361408,0.26268322,0.918543851,-0.339116061,1.138488073,1637.40277890945
"Indiana",2023,"B10",35,23,113.1,96.9,0.8557,53.5,47.2,16.8,16.3,28.1,29,29.5,29.8,53,45.4,36.8,33.4,67.9,3.4,"R32",4,1.977624111,2.247516727,2.359079302,2.094203282,1.407011204,0.754945471,0.90268019,1.646920194,4.439632121,2.930398706,1.618618903,1.781060006,2.419338389,2.129397354,1.948507008,0.388154242,1673.86922489286
"Iona",2013,"MAAC",34,20,112.8,105,0.6956,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,71.3,-5.9,"R64",15,-0.560212989,-0.290072365,0.279181775,-0.801299662,-0.416545888,-0.314648768,-0.779869987,-0.47473479,3.964151628,3.565304577,2.411801321,3.241101241,2.520261892,1.353334668,1.277446583,0.709767468,1576.25342996214
"Iona",2016,"MAAC",33,22,109.1,102.1,0.6822,53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,52.5,46,37,35.8,72.6,-3.6,"R64",13,0.42488018,0.501175435,0.710108362,-0.529724117,0.786711119,0.944208527,0.31626544,-0.176182466,4.357891871,2.931084247,0.869919217,2.031397363,0.472425015,0.30948356,0.848735891,0.965182714,1570.46676691591
"Iona",2017,"MAAC",35,22,109.3,106,0.5879,53.4,50,16.5,18,27,32.1,31,33.4,49.3,47.7,39.7,36.1,71.7,-5.8,"R64",14,0.88094996,0.672679037,1.103534975,-0.43461257,-0.264847586,-0.994167283,-0.801302906,-1.925415648,2.177231588,1.999180216,1.565214463,2.600657953,1.290064357,1.659431243,1.187899102,1.606652917,1607.20795001118
"Iona",2018,"MAAC",34,20,108.8,107.6,0.5333,53.9,52.5,16,18.8,24.5,30.8,30.2,28.6,51.5,51.7,38.3,35.8,71.5,-7.3,"R64",15,1.078629407,0.390162962,0.440064851,0.145983902,-0.656953771,-1.067731707,0.067093565,-0.956949514,3.02898151,1.532266784,1.144953769,1.319927874,1.530802237,1.339212862,0.094848289,0.845053712,1554.25875906975
"Iona",2019,"MAAC",33,17,105.2,108.8,0.4044,53,52.3,17.3,18.5,25.1,30.7,36.8,28.5,53.2,50.3,35.1,36.6,71.9,-10.4,"R64",16,0.131033068,0.54948368,1.328174261,-1.254202543,-1.450070042,-0.861053873,-0.767196706,-2.437306913,2.494977709,1.846213058,-0.59850433,1.964655038,1.100832478,0.355176753,-0.589372336,0.350687898,1436.67871829973
"Iona",2021,"MAAC",17,12,101.1,99.5,0.545,51.2,45.6,22.4,19.6,33.4,26.1,36.1,46.3,49.9,45.8,35.5,30.1,68.5,-3.2,"R64",15,0.77276461,1.382929044,-0.271413173,1.76125571,-0.548711335,-1.023393568,0.174532747,NA,1.73854614,0.800477915,2.221698553,-0.672542564,0.483361956,0.47484891,-1.811210137,NA,1570.23086485043
"Iona",2023,"MAAC",35,27,110.3,98.3,0.7909,51.6,46.3,15.1,20.7,31.6,30.8,29,30.9,50.4,47.1,36.2,29.7,68.5,-1.7,"R64",13,1.244942485,1.67505287,1.439026252,1.338454378,1.019120953,1.442058673,-0.25289975,-0.458579991,3.944516236,2.8439151,2.671841056,2.435963066,1.32670733,-1.464060279,-0.545118538,-0.635635251,1679.99335634949
"Iowa",2015,"B10",34,22,114,92,0.9211,48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,47.3,43.7,33.3,32.6,64.6,2.1,"R32",7,2.064455865,2.369457334,1.984581537,2.564982998,2.021662509,2.162369174,0.965414716,-0.941755745,3.374015374,2.665966372,2.505787617,1.813084376,1.680080646,0.933649351,0.704228679,1.522889275,1648.50269666397
"Iowa",2016,"B10",33,22,114.4,95.8,0.8853,51.3,48,14.8,18.8,31.9,31.3,33,25,48.7,48.7,37.4,31.3,69.8,2,"R32",7,2.307498163,1.935130416,1.453813271,1.672620608,0.91015697,1.530069909,1.538722411,1.13090414,3.899926002,3.31836441,3.146867295,2.287772194,2.619689194,1.028908509,0.679543763,0.10356864,1699.36077548751
"Iowa",2019,"B10",35,23,116.1,100.6,0.8385,52.7,51.5,17.2,18.4,29.8,29.4,42.3,28.8,51.4,53.5,36.4,32.4,70.9,3.2,"R32",10,2.250987431,0.37306764,-0.119372713,2.002136098,0.181032903,0.772168472,0.069100364,-0.142502243,2.540514855,4.218215669,3.177400938,0.973590447,2.785992402,2.038767151,2.696657721,1.615307867,1691.01610224153
"Iowa",2021,"B10",29,21,123.5,95.7,0.9491,54.6,48.3,13.3,16.3,30.7,28.6,32,22.6,52.4,45.8,38.6,34.8,70,5.6,"R32",2,1.053885872,1.043690825,2.444376665,0.065701542,0.137875146,1.872783887,0.653157797,1.363211888,6.194093547,4.627827085,2.956080379,4.746691481,4.546860938,2.669986808,3.059682627,1.824774732,1662.85216630605
"Iowa",2022,"B10",36,26,121.1,97.2,0.9265,53.3,49.7,13,19.2,32.3,30,30,26.3,52.5,49.9,36.3,32.9,69.8,4.5,"R64",5,1.986451633,2.112579079,2.031332312,0.122769564,2.780325665,0.496486046,0.77513363,-0.305767481,6.281990261,3.502826238,3.5081504,5.136240651,2.436080896,3.803196444,3.474114808,2.784869536,1689.2366074824
"Iowa",2023,"B10",33,19,119.9,103.9,0.8385,51.7,53.3,14,18.2,32.1,27.4,32.3,23.8,52.1,52.5,34,36.6,69.6,0.3,"R64",8,-0.541800274,1.003756124,1.011399912,0.15598191,0.383433088,-0.520755816,0.303168405,0.037911677,6.49675574,4.564840824,3.734391236,3.527052657,2.880716479,2.834023129,1.94313353,0.281888379,1615.45891004186
"Iowa State",2013,"B12",35,23,117.2,98.3,0.8828,53.8,48,18.5,18.6,34.2,28.5,33,32.7,51.9,48.8,37.4,31.1,69.6,0.7,"R32",10,0.075977874,0.816037191,1.653492444,1.337447474,0.161932632,-0.334688897,1.862056074,1.214098337,5.302531061,4.013562667,2.711627221,2.738964578,2.671768382,2.555695368,0.135915194,-0.447505862,1665.57111123174
"Iowa State",2014,"B12",36,28,118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46,35.8,34.1,71.6,7.5,"S16",3,1.927526305,1.259529188,2.02423676,0.847089876,2.612039991,-0.392323633,0.416964877,NA,3.372902082,3.988057059,2.960642434,3.509804512,1.270880978,3.75505889,2.859842981,NA,1753.41135098999
"Iowa State",2015,"B12",34,25,116.9,95.6,0.9103,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24,54.3,45.2,36.2,34.7,69.8,7,"R64",3,1.730189242,1.086653848,2.176347253,1.175877835,1.793445061,1.247660852,0.607623268,0.521848799,4.336066263,4.26066046,2.355072013,3.317872239,2.636889467,3.040913258,3.135588791,0.1318262,1727.69674543207
"Iowa State",2016,"B12",35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,"S16",3,1.135132023,1.084256327,0.988783703,1.832115048,1.437075191,0.500089086,0.237284714,-0.614795846,5.34875685,5.032529446,3.680688784,2.524345761,1.660339321,1.466977304,1.449858477,2.232748981,1725.08174938252
"Iowa State",2017,"B12",35,24,120,96.2,0.9265,55,49,14.1,19.5,25.7,31.6,27.6,25.6,51.8,47.5,40,34.6,69.6,6.5,"R32",5,1.371388638,1.258773785,1.948384921,1.329695405,2.28339682,0.971355239,1.296884587,1.95422742,5.716329418,4.311695089,3.511130893,3.400891578,1.751653499,2.472510842,0.989823485,0.094793852,1653.1686343953
"Iowa State",2019,"B12",35,23,118.4,96.6,0.912,54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,55,47.1,36.2,33.6,69.1,4.3,"R64",6,1.921645203,2.004451763,0.872701493,0.255604132,2.123980646,1.482145575,0.896449555,NA,3.363028787,3.191244865,3.520366145,4.077285433,1.921922334,2.457142126,2.572380759,NA,1689.71859216283
"Iowa State",2022,"B12",35,22,101.7,88.4,0.8346,49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2.8,"S16",11,2.03103067,2.148826112,2.107458579,2.253346441,1.405284796,1.76915051,1.830465086,1.967856099,1.741109486,0.894250458,0.83330047,0.540079589,0.711637622,0.331177142,-0.119940907,-0.69889735,1679.15762827114
"Iowa State",2023,"B12",33,19,107,90.9,0.8678,49.9,49.9,19.6,25,33.9,26.5,27.9,40.8,50,49.2,33.1,33.7,64,2.4,"R64",6,2.416102811,2.425289727,2.302388936,2.445996029,1.368689866,2.120362608,1.967996842,2.261721129,1.954486791,1.852837505,1.291270899,1.123321827,1.35685764,0.55355887,0.369772045,-0.661019697,1638.99489778393
"Iowa State",2024,"B12",34,27,113.6,86.5,0.9583,51.9,47.1,15.7,25.7,31.6,29.4,36.1,35.2,51.7,46.9,34.9,31.5,67.6,6.9,NA,2,3.95469206,3.531324323,3.155138585,2.708054926,3.015903318,1.952845324,2.691199732,2.384546531,3.682447318,2.522055943,2.052182671,2.203839505,1.655476681,2.680608931,1.941998932,0.101676645,1693.74322390717
