"TEAM","YEAR","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","dbpr_Player.1","dbpr_Player.2","dbpr_Player.3","dbpr_Player.4","dbpr_Player.5","dbpr_Player.6","dbpr_Player.7","dbpr_Player.8","obpr_Player.1","obpr_Player.2","obpr_Player.3","obpr_Player.4","obpr_Player.5","obpr_Player.6","obpr_Player.7","obpr_Player.8","elo"
"Abilene Christian",2022,"WAC",32,25,104.5,99.5,0.6379,48.4,52,17.6,27.9,27.8,30.9,39.3,49.1,48.4,52,32.2,34.6,70.2,-4.1,"N/A","N/A",0.744890423,2.313424123,1.393814025,0.118256207,-0.426181012,0.176349528,0.0930908,0.237843521,2.14390189,0.315384716,0.223158675,1.318167077,1.156978788,0.461559809,0.192688237,-0.183369189,1631.808142
"Abilene Christian",2023,"WAC",26,13,104.5,106.5,0.4435,49.2,56.5,17.3,23.3,25.5,28.6,32.3,45.6,48.1,56.2,34.3,38.1,69,-10.2,"N/A","N/A",0.444276842,0.222682044,-0.093692116,0.153964894,-0.509619168,-0.233968381,-0.966757715,-0.737521885,1.225436881,1.09967685,0.940104563,0.486728496,0.593604138,0.218897107,0.087128947,-0.223454585,1487.533863
"Abilene Christian",2024,"WAC",31,15,100.4,104.3,0.3901,46.8,52.1,17.5,20.7,26.1,30,38.7,40.4,45.3,53,34.2,33.3,68.5,-11.3,NA,"N/A",2.081981202,-0.071275575,0.252251884,-0.522915046,-0.398067176,1.326029326,-1.091961798,0.105259998,0.297122285,0.643216993,-0.123762988,0.413501326,0.273205014,-1.993267503,-0.574100449,-2.007783854,1448.904684
"Air Force",2013,"MWC",30,16,109.2,103.5,0.6481,54.7,51.9,18.5,19.1,23.7,31.8,30.8,36.6,52.9,54.2,38.1,32.4,64.4,-2.9,NA,NA,-0.895529257,-0.687477488,-0.670894282,-0.021016197,1.195357566,-1.149451106,-0.019142991,-0.079351077,3.218590634,2.65604369,2.493876345,1.140337083,-0.080662919,1.718811883,0.556557927,0.156817122,1603.073431
"Air Force",2014,"MWC",28,10,98.9,104.9,0.336,49.5,50.9,20.5,17.8,26.4,30.2,37.1,43.9,49.6,51.1,32.9,33.7,65.5,-10.7,NA,NA,1.515928815,1.502869111,0.161039038,-0.463069914,-0.518980185,-0.397158927,NA,NA,-0.074508848,-0.357749579,-0.196580043,-0.020673605,-0.086963298,-0.318962507,NA,NA,1456.479071
"Air Force",2015,"MWC",29,12,105,110.2,0.366,53.6,53,19.2,20.2,29.6,32.6,30.8,35.5,53.9,51.5,35.4,36.6,61.6,-10.2,NA,NA,1.334322304,-0.219326227,-0.627048277,-0.035154424,-0.489704546,-1.538871209,-0.852729562,-1.17428599,0.949629572,2.221378775,2.494126145,0.809689562,0.543752777,1.416943002,0.720125452,0.808867405,1452.95836
"Air Force",2016,"MWC",30,12,98.1,105.4,0.306,48,51.8,18.8,19.4,24.3,28.1,39.6,37.2,47,51.3,33.4,34.9,67.9,-10.9,NA,NA,0.686992323,0.207115493,-0.622492966,0.070285553,-1.88664377,-0.417796188,0.517680356,0.496228825,-0.362670959,-0.012747093,0.658998481,-0.043322857,0.796075883,-0.721583311,-2.145560557,-2.148713969,1529.349052
"Air Force",2017,"MWC",31,12,103.1,107.3,0.3854,49.8,54.6,17.9,17.5,26.5,24.6,37.4,32.6,47,54.4,36.2,36.6,68.4,-14.1,NA,NA,-0.436912733,-0.634996698,-0.657526006,-1.406129841,0.606761957,-0.061508473,-0.488193563,-1.01821774,1.412113789,1.449559821,1.273016249,1.528412121,-0.584713975,-0.143146851,-0.4051969,-1.818432602,1490.858752
"Air Force",2018,"MWC",29,12,99.8,105,0.3596,47.6,54.9,18.8,20.6,27.4,28.8,32,33.3,46.8,51.3,32.5,39.7,66.9,-11.8,NA,NA,0.407398869,-0.052554863,-0.059242767,1.071250302,-0.295526973,-0.808282023,-0.365574454,-0.970966849,0.0182792,0.335454144,0.267485488,-0.905258391,0.456351913,0.778350843,0.053646532,0.305244751,1462.116647
"Air Force",2019,"MWC",31,14,99.7,106.1,0.3295,51.3,53.6,19.3,17.8,23.2,24.1,28.3,28.6,53.1,53.6,32.3,35.7,67.8,-10.8,NA,NA,-0.219776106,0.828221438,-0.60429152,-0.231349579,-0.69615084,-1.463221333,-0.381172511,-0.528630007,0.844216184,-0.787205407,0.620197747,-0.285585757,-0.071150519,0.481731041,-0.877871967,-0.973624197,1457.985039
"Air Force",2021,"MWC",25,5,96.1,109.1,0.1891,52.1,57.4,22.6,21.8,15.3,35.4,30.9,32.8,54.1,59.1,33,36.6,63.1,-13.5,"N/A",NA,-0.781103069,-1.478451415,0.289247968,-1.689039525,-1.964657669,-2.400724476,-1.010415404,NA,-0.005676172,-0.319896895,-2.589335935,-0.845032908,-0.697102335,-0.2662632,-2.33748876,NA,1369.582633
"Air Force",2022,"MWC",29,11,95.9,103.2,0.2992,50.9,51.5,21.5,20.3,19.6,29.4,26.8,38.9,51.6,53.8,33.3,31.2,63.2,-10.1,"N/A","N/A",1.415264302,-0.032211308,0.918262412,-0.851782179,-0.080754708,-1.276369699,-0.929913899,-0.855856891,0.080650344,-0.096687466,-1.592970509,-0.066356205,-0.869467744,-0.61579025,-1.022586951,-3.256596275,1491.102315
"Air Force",2023,"MWC",32,14,105.4,102.9,0.5665,54.2,49.3,19,17.1,22.3,28.6,31.2,35.2,54.8,51.9,35.6,29.3,63,-9.4,"N/A","N/A",0.208961962,0.719366007,-0.678868019,0.394737523,0.029326928,-0.023473628,-0.373520792,-0.305395335,1.900748737,0.491819318,1.516787991,0.321645195,0.658612866,0.516377737,0.850679166,0.641727201,1484.2206
"Air Force",2024,"MWC",31,9,106.3,111.7,0.3609,53.8,54.2,18.8,17.6,23.8,31.5,29.6,39.1,53.6,53.7,36.1,36.6,61.9,-13.5,NA,"N/A",-0.374945439,-0.445704271,-0.2870598,-0.934873672,0.267610017,-2.082789784,0.332278203,NA,3.090667323,1.861836438,1.514114939,1.640282254,-1.330225918,-1.056616234,-3.503857148,NA,1412.706478
"Akron",2013,"MAC",32,25,103.4,94.4,0.7402,51,44.6,20.8,20.2,37.6,30.5,36.9,35,52.1,42.7,32.7,32.8,66.5,0.3,"R64","12",1.071573324,1.376694775,1.732632526,1.573744686,0.984621568,1.301629813,0.69533923,-1.151229331,3.09287381,2.223397073,1.712269896,1.603141347,1.012448327,0.282843676,0.150628795,0.428387143,1715.016313
"Akron",2014,"MAC",34,21,105,101.7,0.5896,50.3,47.9,19.8,19.5,34.8,32.4,40.4,36.1,49.3,47.1,34.6,33.5,65.7,-4.7,NA,NA,-0.069670149,0.793569245,1.297455297,0.823714776,0.161276279,-0.146256345,0.317806815,-0.609949054,2.481217591,1.536310613,0.678208576,0.767681666,1.35772789,-0.156683726,-0.857772741,0.017332459,1610.002215
"Akron",2015,"MAC",34,20,103.4,97.1,0.6727,49.4,45.5,18.8,18.8,33.3,31.5,31.3,41,46.7,43.8,34.9,33,64.1,-6.9,NA,NA,0.322060092,1.446992477,1.055436496,1.244147493,0.958264569,0.378644996,0.370028085,1.339268906,3.172105646,1.882002864,1.836014837,0.380257895,0.563051341,0.914940782,0.485747645,-0.713284147,1601.612627
"Akron",2016,"MAC",34,25,109,100.5,0.7187,52.7,46.8,15.5,16.7,28.5,30.4,30.6,32.4,48,47.5,38.2,30.1,68.3,-1.4,NA,NA,0.186381534,1.088936949,0.586457171,0.137407489,0.663672011,-0.139717001,1.483409341,1.730626213,3.204993979,2.105626104,2.460046659,2.408098875,0.901064858,1.34539614,-0.410976054,-0.76399878,1721.890364
