"game_id","season","season_type","game_date","game_date_time","team_id","team_uid","team_slug","team_location","team_name","team_abbreviation","team_display_name","team_short_display_name","team_color","team_alternate_color","team_logo","team_home_away","team_score","team_winner","assists","blocks","defensive_rebounds","field_goal_pct","field_goals_made","field_goals_attempted","flagrant_fouls","fouls","free_throw_pct","free_throws_made","free_throws_attempted","largest_lead","offensive_rebounds","steals","team_turnovers","technical_fouls","three_point_field_goal_pct","three_point_field_goals_made","three_point_field_goals_attempted","total_rebounds","total_technical_fouls","total_turnovers","turnovers","opponent_team_id","opponent_team_uid","opponent_team_slug","opponent_team_location","opponent_team_name","opponent_team_abbreviation","opponent_team_display_name","opponent_team_short_display_name","opponent_team_color","opponent_team_alternate_color","opponent_team_logo","opponent_team_score"
400786183,2015,3,2015-03-21,2015-03-21 12:10:00,5,"s:40~l:41~t:5","uab-blazers","UAB","Blazers","UAB","UAB Blazers","UAB","054338","ffc845","https://a.espncdn.com/i/teamlogos/ncaa/500/5.png","away",75,FALSE,17,3,14,43.9,29,66,0,21,50,5,10,NA,12,5,0,0,46.2,12,26,26,0,8,8,26,"s:40~l:41~t:26","ucla-bruins","UCLA","Bruins","UCLA","UCLA Bruins","UCLA","2774ae","f2a900","https://a.espncdn.com/i/teamlogos/ncaa/500/26.png",92
400786183,2015,3,2015-03-21,2015-03-21 12:10:00,26,"s:40~l:41~t:26","ucla-bruins","UCLA","Bruins","UCLA","UCLA Bruins","UCLA","2774ae","f2a900","https://a.espncdn.com/i/teamlogos/ncaa/500/26.png","home",92,TRUE,17,4,26,60.3,35,58,0,16,68,17,25,NA,15,4,1,0,55.6,5,9,41,0,13,13,5,"s:40~l:41~t:5","uab-blazers","UAB","Blazers","UAB","UAB Blazers","UAB","054338","ffc845","https://a.espncdn.com/i/teamlogos/ncaa/500/5.png",75
400785350,2015,3,2015-03-20,2015-03-20 22:53:00,2168,"s:40~l:41~t:2168","dayton-flyers","Dayton","Flyers","DAY","Dayton Flyers","Dayton","004B8D","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png","away",66,TRUE,9,4,29,42.9,18,42,0,14,73.3,22,30,NA,3,8,0,0,34.8,8,23,32,0,12,12,2507,"s:40~l:41~t:2507","providence-friars","Providence","Friars","PROV","Providence Friars","Providence","000000","a3a19e","https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png",53
400785350,2015,3,2015-03-20,2015-03-20 22:53:00,2507,"s:40~l:41~t:2507","providence-friars","Providence","Friars","PROV","Providence Friars","Providence","000000","a3a19e","https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png","home",53,FALSE,9,1,26,33.9,20,59,0,21,42.9,3,7,NA,13,4,0,1,38.5,10,26,39,1,16,16,2168,"s:40~l:41~t:2168","dayton-flyers","Dayton","Flyers","DAY","Dayton Flyers","Dayton","004B8D","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png",66
400785353,2015,3,2015-03-20,2015-03-20 22:10:00,2449,"s:40~l:41~t:2449","north-dakota-state-bison","North Dakota State","Bison","NDSU","North Dakota State Bison","N Dakota St","01402A","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png","away",76,FALSE,5,3,21,53.7,29,54,0,22,66.7,8,12,NA,3,3,0,0,47.6,10,21,24,0,13,13,2250,"s:40~l:41~t:2250","gonzaga-bulldogs","Gonzaga","Bulldogs","GONZ","Gonzaga Bulldogs","Gonzaga","041e42","c8102e","https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png",86
400785353,2015,3,2015-03-20,2015-03-20 22:10:00,2250,"s:40~l:41~t:2250","gonzaga-bulldogs","Gonzaga","Bulldogs","GONZ","Gonzaga Bulldogs","Gonzaga","041e42","c8102e","https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png","home",86,TRUE,16,3,24,51.7,30,58,0,13,67.9,19,28,NA,11,5,0,0,31.8,7,22,35,0,9,9,2449,"s:40~l:41~t:2449","north-dakota-state-bison","North Dakota State","Bison","NDSU","North Dakota State Bison","N Dakota St","01402A","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png",76
400785443,2015,3,2015-03-20,2015-03-20 21:40:00,2599,"s:40~l:41~t:2599","st-johns-red-storm","St. John's","Red Storm","SJU","St. John's Red Storm","St John's","d10000","101010","https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png","away",64,FALSE,6,2,25,45.8,27,59,0,21,63.6,7,11,NA,7,7,0,0,17.6,3,17,32,0,10,10,21,"s:40~l:41~t:21","san-diego-state-aztecs","San Diego State","Aztecs","SDSU","San Diego State Aztecs","San Diego St","BF2C37","a8996e","https://a.espncdn.com/i/teamlogos/ncaa/500/21.png",76
400785443,2015,3,2015-03-20,2015-03-20 21:40:00,21,"s:40~l:41~t:21","san-diego-state-aztecs","San Diego State","Aztecs","SDSU","San Diego State Aztecs","San Diego St","BF2C37","a8996e","https://a.espncdn.com/i/teamlogos/ncaa/500/21.png","home",76,TRUE,12,3,27,47.2,25,53,0,12,56.7,17,30,NA,13,5,1,0,40.9,9,22,40,0,13,13,2599,"s:40~l:41~t:2599","st-johns-red-storm","St. John's","Red Storm","SJU","St. John's Red Storm","St John's","d10000","101010","https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png",64
400785455,2015,3,2015-03-20,2015-03-20 21:28:00,324,"s:40~l:41~t:324","coastal-carolina-chanticleers","Coastal Carolina","Chanticleers","CCU","Coastal Carolina Chanticleers","Coast Car","007073","876447","https://a.espncdn.com/i/teamlogos/ncaa/500/324.png","away",72,FALSE,9,1,18,48.3,28,58,0,14,81.8,9,11,NA,7,8,0,0,58.3,7,12,25,0,6,6,275,"s:40~l:41~t:275","wisconsin-badgers","Wisconsin","Badgers","WISC","Wisconsin Badgers","Wisconsin","A00002","f7f7f7","https://a.espncdn.com/i/teamlogos/ncaa/500/275.png",86
400785455,2015,3,2015-03-20,2015-03-20 21:28:00,275,"s:40~l:41~t:275","wisconsin-badgers","Wisconsin","Badgers","WISC","Wisconsin Badgers","Wisconsin","A00002","f7f7f7","https://a.espncdn.com/i/teamlogos/ncaa/500/275.png","home",86,TRUE,14,1,24,54.1,33,61,0,11,75,9,12,NA,12,5,0,0,40.7,11,27,36,0,9,9,324,"s:40~l:41~t:324","coastal-carolina-chanticleers","Coastal Carolina","Chanticleers","CCU","Coastal Carolina Chanticleers","Coast Car","007073","876447","https://a.espncdn.com/i/teamlogos/ncaa/500/324.png",72
400785442,2015,3,2015-03-20,2015-03-20 20:17:00,399,"s:40~l:41~t:399","albany-great-danes","Albany","Great Danes","ALB","Albany Great Danes","Albany","3D2777","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/399.png","away",60,FALSE,15,1,20,37.7,23,61,0,16,60,6,10,NA,14,6,0,0,32,8,25,34,0,7,7,201,"s:40~l:41~t:201","oklahoma-sooners","Oklahoma","Sooners","OU","Oklahoma Sooners","Oklahoma","9d2235","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/201.png",69
400785442,2015,3,2015-03-20,2015-03-20 20:17:00,201,"s:40~l:41~t:201","oklahoma-sooners","Oklahoma","Sooners","OU","Oklahoma Sooners","Oklahoma","9d2235","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/201.png","home",69,TRUE,10,6,26,43.9,25,57,0,14,75,12,16,NA,14,5,0,0,29.2,7,24,40,0,9,9,399,"s:40~l:41~t:399","albany-great-danes","Albany","Great Danes","ALB","Albany Great Danes","Albany","3D2777","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/399.png",60
400785445,2015,3,2015-03-20,2015-03-20 19:40:00,2166,"s:40~l:41~t:2166","davidson-wildcats","Davidson","Wildcats","DAV","Davidson Wildcats","Davidson","000000","e51837","https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png","away",52,FALSE,13,4,20,33.3,21,63,0,15,40,4,10,NA,10,1,0,0,21.4,6,28,30,0,6,6,2294,"s:40~l:41~t:2294","iowa-hawkeyes","Iowa","Hawkeyes","IOWA","Iowa Hawkeyes","Iowa","000000","fcd116","https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png",83
400785445,2015,3,2015-03-20,2015-03-20 19:40:00,2294,"s:40~l:41~t:2294","iowa-hawkeyes","Iowa","Hawkeyes","IOWA","Iowa Hawkeyes","Iowa","000000","fcd116","https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png","home",83,TRUE,12,5,32,50.7,35,69,0,11,70,7,10,NA,14,3,0,0,37.5,6,16,46,0,5,5,2166,"s:40~l:41~t:2166","davidson-wildcats","Davidson","Wildcats","DAV","Davidson Wildcats","Davidson","000000","e51837","https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png",52
400785351,2015,3,2015-03-20,2015-03-20 19:10:00,2523,"s:40~l:41~t:2523","robert-morris-colonials","Robert Morris","Colonials","RMU","Robert Morris Colonials","Robert Morris","00214D","a21d2b","https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png","away",56,FALSE,13,1,16,36.4,24,66,0,17,50,2,4,NA,12,6,0,0,31.6,6,19,28,0,8,8,150,"s:40~l:41~t:150","duke-blue-devils","Duke","Blue Devils","DUKE","Duke Blue Devils","Duke","013088","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",85
400785351,2015,3,2015-03-20,2015-03-20 19:10:00,150,"s:40~l:41~t:150","duke-blue-devils","Duke","Blue Devils","DUKE","Duke Blue Devils","Duke","013088","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png","home",85,TRUE,28,3,31,63,34,54,0,8,50,7,14,NA,9,7,0,0,47.6,10,21,40,0,11,11,2523,"s:40~l:41~t:2523","robert-morris-colonials","Robert Morris","Colonials","RMU","Robert Morris Colonials","Robert Morris","00214D","a21d2b","https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png",56
400785447,2015,3,2015-03-20,2015-03-20 18:50:00,197,"s:40~l:41~t:197","oklahoma-state-cowboys","Oklahoma State","Cowboys","OKST","Oklahoma State Cowboys","Oklahoma St","ff6500","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/197.png","away",73,FALSE,11,0,22,45,27,60,0,17,69.2,9,13,"0",9,8,0,0,34.5,10,29,31,0,12,12,2483,"s:40~l:41~t:2483","oregon-ducks","Oregon","Ducks","ORE","Oregon Ducks","Oregon","044520","fee123","https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png",79
400785447,2015,3,2015-03-20,2015-03-20 18:50:00,2483,"s:40~l:41~t:2483","oregon-ducks","Oregon","Ducks","ORE","Oregon Ducks","Oregon","044520","fee123","https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png","home",79,TRUE,11,6,25,54.7,29,53,0,12,77.8,14,18,"5",3,9,0,0,36.8,7,19,28,0,12,12,197,"s:40~l:41~t:197","oklahoma-state-cowboys","Oklahoma State","Cowboys","OKST","Oklahoma State Cowboys","Oklahoma St","ff6500","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/197.png",73
400785344,2015,3,2015-03-20,2015-03-20 17:12:00,2674,"s:40~l:41~t:2674","valparaiso-beacons","Valparaiso","Beacons","VAL","Valparaiso Beacons","Valparaiso","794500",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png","away",62,FALSE,12,1,20,35.7,20,56,0,19,55.6,10,18,NA,11,5,0,0,44.4,12,27,31,0,9,9,120,"s:40~l:41~t:120","maryland-terrapins","Maryland","Terrapins","MD","Maryland Terrapins","Maryland","D5002B","ffcd00","https://a.espncdn.com/i/teamlogos/ncaa/500/120.png",65
400785344,2015,3,2015-03-20,2015-03-20 17:12:00,120,"s:40~l:41~t:120","maryland-terrapins","Maryland","Terrapins","MD","Maryland Terrapins","Maryland","D5002B","ffcd00","https://a.espncdn.com/i/teamlogos/ncaa/500/120.png","home",65,TRUE,9,5,30,47.5,19,40,0,19,75,18,24,NA,4,5,0,1,42.9,9,21,34,1,11,11,2674,"s:40~l:41~t:2674","valparaiso-beacons","Valparaiso","Beacons","VAL","Valparaiso Beacons","Valparaiso","794500",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png",62
400785348,2015,3,2015-03-20,2015-03-20 16:21:00,300,"s:40~l:41~t:300","uc-irvine-anteaters","UC Irvine","Anteaters","UCI","UC Irvine Anteaters","UC Irvine","002B5C","fec52e","https://a.espncdn.com/i/teamlogos/ncaa/500/300.png","away",55,FALSE,10,2,20,46.2,24,52,0,10,100,2,2,NA,9,5,0,0,35.7,5,14,29,0,14,14,97,"s:40~l:41~t:97","louisville-cardinals","Louisville","Cardinals","LOU","Louisville Cardinals","Louisville","c9001f","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/97.png",57
